Company Name,Job Title,Location,Job Posting Link,Date Applied,Salary,Receive Interview,Application Status,Follow-up Date,Referral / Contact Name,Notes,How Applied,Category,ATS Score,
Stryker,Bilingual Customer Service Agent,Hamilton,https://careers.stryker.com/bilingual-customer-service-agent/job/196E065C23236FE38032D76FAE3D0C49,17/10/2025,60 K,Yes,HR  + Hiring Manager, HR - Stephany done + Interview with Hiring Manager - caitlin.castillo@stryker.com,,,LinkedIn Application,,,
MT Talent Solutions,Bilingual Customer Service Representative,Mississauga,https://www.mttalent.ca/job-details/bilingual-customer-service-representative-in-call-centre-customer-service-jobs-1324168,16/10/2025,,No,,,,,LinkedIn Application,,,
Ranstad,Senior Project Manager,,https://www.randstad.ca/jobs/senior-project-managerleader_toronto_45953751/,,,No,,,,,LinkedIn Application,,,
RedBranch Executive Search & Recruitment ,Project Manager,,,20/10/2025,100 -130K,No,,,,,LinkedIn Application,,,
Omers,Project Manager,,https://careers.omers.com/ca/en/job/JR-7599/Project-Manager-Project-Delivery---Platform-Engineering-AI-and-Advanced-Analytics?src=Linkedin,21/10/2025,,No,,,,,LinkedIn Application,,,
Scene,Project Manager,Toronto,https://www.linkedin.com/jobs/view/4318568632/?refId=ae2570ea-22c7-49ae-8925-ea16b88d9c4e&trackingId=HvD9dVeTQG%2BpHJeD9aeJCw%3D%3D,28/10/2025,90 K,No,,,,,LinkedIn Application,,,
Canadian Tire,Program Delivery Manager,Toronto,Ruby - Recruiter - email,28/10/2025,,Yes,,,,,Recruiter ,,,
Critical Mass,Senior Project Manager,Toronto,https://www.linkedin.com/jobs/search/?alertAction=viewjobs&currentJobId=4332341254&distance=25&f_TPR=a1761590951-&geoId=100761630&keywords=digital%20project%20manager&origin=JOB_ALERT_IN_APP_NOTIFICATION&originToLandingJobPostings=4319243037%2C4332341254%2C4332382706%2C4318082772%2C4319313696%2C4319154996&savedSearchId=1675100344&sortBy=R,28/10/2025,,No,,,,,LinkedIn Application,,,
Publicis Health,Project Manager,Toronto,https://www.linkedin.com/jobs/search/?alertAction=viewjobs&currentJobId=4306621347&distance=25&f_TPR=a1761624534-&f_WT=1%2C3&geoId=100761630&keywords=Project%20Manager&origin=JOB_ALERT_IN_APP_NOTIFICATION&originToLandingJobPostings=4319491661%2C4310041742%2C4319502128%2C4332416093%2C4332341254%2C4319562001&savedSearchId=15009161156&sortBy=R,29/10/2025,,No,,,,,LinkedIn Application,,,
Rare Days,Senior Project Manager,"Vancouver, BC, Canada .",https://www.linkedin.com/jobs/collections/recommended/?currentJobId=4319537847&originToLandingJobPostings=4319537847%2C4333081313%2C4332940239%2C4318574755%2C4319563294,,,Yes,HR,Interview with Jennifer,,1 HR/BD,LinkedIn Application,,,
Sapiens,Delivery Manager,Toronto ( Remote),https://www.linkedin.com/jobs/search/?alertAction=viewjobs&currentJobId=4337476595&distance=25&f_TPR=a1762203237-&f_WT=2&geoId=105149290&keywords=Project%20Manager&origin=JOB_ALERT_IN_APP_NOTIFICATION&originToLandingJobPostings=4333919085&savedSearchId=15009161148&sortBy=R,04/11/2025,,No,,,,,LinkedIn Application,,,
Clio,Senior Project Manager,Toronto,https://www.linkedin.com/jobs/search/?currentJobId=4320496640&distance=25&f_TPR=a1762148712-&f_WT=1%2C3&geoId=100761630&keywords=Project%20Manager&origin=JOB_ALERT_EMAIL&originToLandingJobPostings=4308603558%2C4320471580%2C4320385906%2C4331817776%2C4319710108%2C4333898887&sortBy=R&trk=eml-email_job_alert_digest_01-primary_job_list-0-see_all_jobs_button_15009161156,05/11/2025,,No,,,,,LinkedIn Application,,,
